root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
output/experiments,B30_c30_a1p41_b1p41,20260709-051548_p64_i300,25,0.575355149804531,-3.548329631240029,0.000282924377336493,13.999809144500112,,5.999913423460696,-0.384204850195469,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-171707_p64_i300,57,0.6639755096786417,-3.4034502932922988,0.0003949569011293794,17.998833591859196,,9.999767119111384,-0.29558449032135825,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-060025_p64_i300,41,0.6640603740544586,-3.3304775837570153,0.00046722106630826485,17.99888630509368,,9.999776322983756,-0.29549962594554136,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-140351_p64_i1500,11155,0.6640603740544586,-3.3304775837570153,0.00046722106630826485,17.99888630509368,,9.999776322983756,-0.29549962594554136,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-062904_p64_i300,49,0.6936426860855084,-3.033457627308845,0.0009258537132307283,15.999416656048005,,7.9999043028903305,-0.2659173139144916,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-062904_p64_i300,57,0.6947307789332655,-2.958323340238232,0.0011007194984634394,15.999412278192057,,7.999900476579558,-0.26482922106673445,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-061443_p64_i300,57,0.7070255279175972,-2.9528079515229404,0.0011147873924697534,15.999458279608433,,7.999903582549202,-0.25253447208240276,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-051548_p64_i300,33,0.7163356809534297,-2.4809597407253485,0.0033040016784682594,9.999837382543385,,7.999904130237432,-0.24322431904657027,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-170200_p64_i300,25,0.7267985484672149,-2.1413467986456114,0.007221928781572865,5.999942457758001,,3.999960101426143,-0.23276145153278505,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260710-040236_p64_i300,25,0.7268291009646016,-2.133987773425323,0.007345345470177719,5.999940014948761,,3.9999584848206355,-0.23273089903539834,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260710-040245_p64_i300,55,0.7268943469850192,-2.114739147344453,0.0076782253231015745,5.999932983168414,,3.999953729850215,-0.23266565301498077,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-023945_p64_i4000,8279,0.850023372179883,-2.082051741220129,0.008278435297490666,7.99990440380985,,7.99990440380985,-0.10953662782011697,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-023945_p64_i4000,6027,0.9325646205837355,-1.5041324119374087,0.031323305632211716,7.99992930277958,,7.99992930277958,-0.02699537941626451,,,1.4142135623730951,(1+1j)
