best_des,best_exp,best_idx,best_logp,cycle,depth,genotype,logp_below_-40,logp_positive,n_cells,n_obj,n_subG,n_subG_zero_dng,n_subG_zero_photon,n_valid,phase,run,sub_dng_med,sub_dng_min,sub_phot_med,sub_phot_min,sub_pnr_max,target
"[5.0, 9.999700570276755, 21.925679243054727, 4.150169240104011]",0.4247795952168441,13499,-5.744460651790591,c0,d4,B30F,0,0,38250,2,33,0,0,5236,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-043403_p64_i1500,4.150169240104011,3.9379878575413905,19.999666635177263,17.99970004373966,9.999835522151743,a1p00_b1p00
"[5.0, 9.99970057031401, 21.925501134106714, 4.148674566190682]",0.42481558850030077,13498,-5.744460650611438,c0,d4,B30F,0,0,38250,2,33,0,0,5188,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-065226_p64_i1500,4.182628686005419,3.9958966177655917,21.639957973667887,17.99969989958565,9.99983784903622,a1p00_b1p00
"[2.0, 5.999913961984587, 11.999827923969175, 3.982092211297756]",0.6222316518303181,5666,-2.6225611147436267,c0,d5,B30F,0,0,74250,2,2,0,0,4914,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-164542_p64_i800,3.982092211297756,3.982092211297756,11.999827923969175,11.999827923969175,5.999913961984587,a1p00_b1p00
"[5.0, 9.999700570626667, 21.923054245899838, 4.187402408602317]",0.4281116847360367,13498,-5.744456078139785,c0,d5,B30F,0,0,74250,2,27,0,0,4413,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,4.198735430076496,3.7320328181632405,19.999688072223236,17.998753822971032,9.999846182092858,a1p00_b1p00
"[5.0, 9.999700570626667, 21.923054245899838, 4.166197639060968]",0.4261928758022305,13495,-5.744456060278898,c0,d5,B30F,0,0,74250,2,24,0,0,4495,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260705-210523_p64_i800,4.155327930206493,4.100038874324202,21.028478711558126,20.97326232828216,9.999833612160536,a1p00_b1p00
"[2.0, 1.9924737116005216, 3.9849474228509685, 1.4172885389075156]",0.7194833605014216,5075,-0.8581462857576603,c1,d3,B30F,0,0,20250,2,0,,,6554,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260706-082126_p64_i4000,,,,,,a1p00_b1p00
"[1.0, 5.97783597750444, 5.97783597750444, 1.41858194949791]",0.7196121421071444,3275,-0.6030705984588958,c1,d3,B30F,0,0,20250,2,0,,,6501,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260706-121336_p64_i4000,,,,,,a1p00_b1p00
"[3.0, 5.525535314756858, 11.157465355496434, 1.408466220087356]",0.7200011761323135,7866,-3.260414302124787,c1,d4,B30F,0,0,38250,2,0,,,5838,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260707-100223_p64_i1500,,,,,,a1p00_b1p00
"[4.0, 9.999701407689118, 21.04084015503561, 4.156083916257998]",0.4056529097443193,11202,-4.94986135199715,c1,d4,B30F,0,0,38250,2,41,0,0,5150,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260707-121847_p64_i1500,4.183055584494891,3.901760640452359,21.04084015503561,17.999704752911583,9.999836501680363,a1p00_b1p00
"[4.0, 9.999701407696177, 21.040840118192808, 4.156083920949964]",0.4056529078421515,11203,-4.949861351997146,c1,d4,B30F,0,0,38250,2,42,0,0,5315,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260707-134748_p64_i1500,4.1869320641409775,3.933332302576277,20.999220807707825,17.99970225395411,9.999834585533534,a1p00_b1p00
"[6.0, 4.824700410935672, 7.9757760960051, 1.4108655323494024]",0.7196416939102968,14570,-5.286416348531654,c1,d5,B30F,0,0,74250,2,0,,,4804,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260707-185304_p64_i800,,,,,,a1p00_b1p00
"[4.0, 9.999701407689734, 21.040840118184835, 4.156083921682162]",0.4056529078480135,11200,-4.949861351997133,c1,d5,B30F,0,0,74250,2,19,0,0,4504,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260707-202905_p64_i800,4.2027639391426135,4.1560839216821375,21.887649432504368,21.040840118184835,9.999834397569492,a1p00_b1p00
"[4.0, 9.999701407689734, 21.040840118184835, 4.156083921682162]",0.4056529078480135,11200,-4.949861351997133,c1,d5,B30F,0,0,74250,2,19,0,0,4504,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260707-220320_p64_i800,4.2027639391426135,4.1560839216821375,21.887649432504368,21.040840118184835,9.999834397569492,a1p00_b1p00
