key,run,cell,exp_stored,logp_stored,target,genotype,depth,phase,cycle,des,exp_hi,drift,tail,logP,n_eff,max_eff,n_active,vs_gaussian,vs_gn,verdict
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|13451|0.6012289,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,13451,0.6012289306570625,-5.744456078139785,a1p00_b1p00,B30F,5,A,c0,"[5.0, 9.999700572292614, 20.99057377240648, 3.7320328181632405]",0.6012289306230946,-3.396793957222144e-11,9.882445775879387e-33,-5.744456078139793,20.99057377240648,9.999700572292614,5.0,-0.06543806937690544,-0.10955306937690545,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|13450|0.6037509,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,13450,0.6037508745562395,-5.744456060278898,a1p00_b1p00,B30F,5,A,c0,"[5.0, 9.999700572299096, 20.99057377241449, 3.7394309812524167]",0.6037508745214322,-3.480737920114052e-11,1.0045555629571385e-32,-5.744456060278922,20.99057377241449,9.999700572299096,5.0,-0.06291612547856784,-0.10703112547856786,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|6656|0.6038427,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,6656,0.6038426755596097,-3.542073476497867,a1p00_b1p00,B30F,5,A,c0,"[2.0, 9.999307672801619, 17.998753822971032, 3.88742485335605]",0.6038426755607406,1.1308731728831845e-12,3.3521660637390403e-35,-3.54207347649788,17.998753822971032,9.999307672801619,2.0,-0.06282432443925945,-0.10693932443925946,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-164542_p64_i800|5666|0.6222317,output/experiments/B30F_c30_a1p00_b1p00/20260705-164542_p64_i800,5666,0.6222316518303181,-2.6225611147436267,a1p00_b1p00,B30F,5,A,c0,"[2.0, 5.999913961984587, 11.999827923969175, 3.982092211297756]",0.6222316518303186,4.440892098500626e-16,1.594590347018907e-94,-2.622561114743654,11.999827923969175,5.999913961984587,2.0,-0.04443534816968142,-0.08855034816968144,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|11203|0.6544257,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,11203,0.6544256746239074,-4.804112399322292,a1p00_b1p00,B30F,5,A,c0,"[4.0, 9.999835537471698, 19.995853983709363, 4.027470407534684]",0.6544256746220747,-1.8327561690512084e-12,2.617619260048478e-34,-4.80411239770447,19.995853983709363,9.999835537471698,4.0,-0.012241325377925327,-0.05635632537792534,valid
a1p00_b1p00|output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800|6657|0.6625739,output/experiments/B30F_c30_a1p00_b1p00/20260705-190337_p64_i800,6657,0.6625739126438837,-3.106561500379096,a1p00_b1p00,B30F,5,A,c0,"[2.0, 9.999846182092858, 17.999723673109415, 4.041184637082244]",0.6625739126422252,-1.6584511541850588e-12,2.8283729291962876e-34,-3.106561503493953,17.999723673109415,9.999846182092858,2.0,-0.004093087357774805,-0.04820808735777482,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300|64|0.5039426,output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300,64,0.5039425553941663,-7.592106102733404,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999824909080161, 17.999074564639525, 3.9213226191540365]",0.5026582838357369,-0.0012842715584294728,1.3967029046198246e-18,-7.592086504422893,17.999074564639525,5.999824909080161,3.0,-0.4569017161642631,-0.4952657161642632,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300|9|0.5039463,output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300,9,0.5039462667324803,-7.594189418812475,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999825028522665, 17.999075395010088, 3.9212439620137776]",0.502712499272886,-0.0012337674595943593,1.4449242112608448e-18,-7.594169652901889,17.999075395010088,5.999825028522665,3.0,-0.456847500727114,-0.49521150072711406,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-061443_p64_i300|64|0.5039791,output/experiments/B30_c30_a1p41_b1p41/20260708-061443_p64_i300,64,0.5039791027671329,-8.463988523389833,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999837707501977, 17.99912911846095, 3.9185186489176758]",0.5028026636020153,-0.0011764391651175599,1.365906258919347e-18,-8.463952156713425,17.99912911846095,5.999837707501977,3.0,-0.45675733639798466,-0.4951213363979847,valid
a1p41_b1p41|output/experiments/B30_c30_a1p41_b1p41/20260708-060736_p64_i300|64|0.5041953,output/experiments/B30_c30_a1p41_b1p41/20260708-060736_p64_i300,64,0.5041953192861245,-8.471330805753464,a1p41_b1p41,B30,3,C,c0,"[3.0, 5.999860085415673, 17.999239055297956, 3.910455337888422]",0.5029794461632545,-0.0012158731228699704,1.2514186101116418e-18,-8.471201148830545,17.999239055297956,5.999860085415673,3.0,-0.45658055383674545,-0.4949445538367455,valid
