group,design,depth,exp_O,vs_gaussian,Nc_before,Nc_after,prob_before,prob_after,prob_gain,sqdb_before,sqdb_after,negvol_before,negvol_after,han_valid,after_source,provenance
B30_c30_a2p73_b1p41,B30,5,0.501200468251363,-0.5881155317486361,15,7,3.2700061974329594e-05,0.0022177179452610002,67.4412552066358,16.1664884845455,11.472316824994929,3.5266868630544,2.708068416794992,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-010148_p64_i300#49
B30_c30_a2p73_b1p41,B30,5,0.5012760682628921,-0.588039931737107,15,7,3.3749426533967636e-05,0.0022252213862780004,64.1329773605404,15.93000647989193,11.471915656750763,3.52752118502043,2.72151384566214,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260705-234930_p64_i300#49
B30_c30_a2p73_b1p41,B30,5,0.501323406229517,-0.5879925937704821,15,7,3.435923379452022e-05,0.00224289206529,63.139677131038056,15.81159298401735,11.480820480647443,3.526457207540944,2.726189483891637,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260705-234930_p64_i300#57
B30_c30_a2p73_b1p41,B30,5,0.5015200825984141,-0.5877959174015851,15,7,3.401571778939478e-05,0.002171353669379,61.05679450835352,15.769520599286587,11.46482448722987,3.527098497889434,2.751892427523459,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260705-110134_p64_i300#64
B30_c30_a2p73_b1p41,B30,5,0.5015639252770571,-0.587752074722942,15,7,3.3685561142676643e-05,0.00216528210289,60.40357548539042,15.74628571238734,11.460923912112753,3.533041090210563,2.754952510436845,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260705-110126_p64_i300#64
B30_c30_a2p73_b1p41,B30,5,0.502174006142289,-0.58714199385771,15,7,3.594347094455147e-05,0.002215882705659,58.041240309022534,15.380712071458943,11.520962890965498,3.528602586111153,2.7880814596141033,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260705-232539_p64_i300#64
B30_c30_a2p73_b1p41,B30,3,0.509557997383974,-0.5797580026160251,16,8,0.00015580428969400002,0.002072044540525,11.387363822476095,16.981091775026805,13.310613145374155,3.44345335070097,2.6437971401367593,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260704-065137_p64_i300#64
B30_c30_a2p73_b1p41,B30,3,0.5095580117456641,-0.579757988254335,16,8,0.00015580429172600002,0.0020720445343760004,11.387363788437815,16.981091775026805,13.3106131465812,3.443454832479627,2.6437984178947342,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260704-022959_p64_i4000#8410
B30_c30_a2p73_b1p41,B30,4,0.509664843712156,-0.579651156287843,16,8,0.000156710538217,0.002069049752104,11.20990467935555,16.86808768361031,13.312706085013826,3.440819231158925,2.631083034911411,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260704-175001_p64_i300#1
B30_c30_a2p73_b1p41,B30,3,0.509668432354326,-0.579647567645673,16,8,0.000158689802742,0.002089935371134,10.94903167279323,16.775808268895503,13.313543464174813,3.441099134936718,2.658930449541654,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260703-223259_p64_i4000#8413
B30_c30_a2p73_b1p41,B30,3,0.51013439868826,-0.579181601311739,16,8,0.000159248902261,0.00209228471437,10.86748059073949,16.734216263629396,13.31431596730758,3.442492913062453,2.65613777842851,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260703-223259_p64_i4000#8412
B30_c30_a2p73_b1p41,B30,3,0.5187733425740481,-0.570542657425951,16,8,0.000161019611443,0.001948706739785,9.666496296174554,16.56422819634895,13.296297126679487,3.269546171628104,2.530677892431627,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260703-223259_p64_i4000#8414
B30_c30_a2p73_b1p41,B30,5,0.521397368310077,-0.5679186316899221,14,6,0.00020162563349600002,0.005925482050663001,20.78422764137072,15.966811199183805,11.667217184061993,3.690057076768331,3.020123714297146,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260707-095621_p64_i300#25
