root,group,run,cell_idx,design,depth,modes,pnr_max,target_alpha,target_beta,exp_stored,exp_lo,exp_hi,herald_norm,herald_norm_lo,prob,logP,herald_prob_full,active_modes,max_pnr,total_photons,fired_modes,fp_budget,indep_fidelity,wigner_negvol,gs_eig,gaussian_limit,vs_gs,vs_gaussian,scorer_backend,moment_fast,is_artifact,artifact_reason,target_source,n_skipped_cells
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,1050,00B,3,3,15,(2.7320508+0j),(1+1j),0.5725715119763899,0.5722005623971351,0.5725715119723103,1.0,0.999974804032902,2.4621167277810832e-05,-4.608691361222129,2.5043510136367665e-06,4,4,11,4,180,,1.182497650272466,0.10285636870568209,1.0893163965535737,0.46971514326662817,-0.5167448845812634,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,1051,00B,3,3,15,(2.7320508+0j),(1+1j),0.8166955611204008,0.816695525709396,0.8166955578377508,1.0,0.9999999999968507,0.014541200034854878,-1.8373997511791915,0.00039653064322487454,4,3,6,2,16,,0.8129370290536357,0.10285636870568209,1.0893163965535737,0.7138391891320688,-0.2726208387158229,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,1053,00B,3,3,15,(2.7320508+0j),(1+1j),0.8019455543780155,0.8019459662196509,0.8019455543290144,1.0,0.9999999999252581,0.0006923226751076102,-3.1596914440452974,9.907711484735011e-05,4,4,6,2,15,,0.8543415830699702,0.10285636870568209,1.0893163965535737,0.6990891856233323,-0.28737084222455933,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,1054,00B,3,3,15,(2.7320508+0j),(1+1j),0.724667947464994,0.7246679584425701,0.7246679476724207,1.0,0.9999999999997553,4.964385026432375e-05,-4.304134542972986,5.7944021647007535e-06,4,4,10,3,80,,1.1048254843696272,0.10285636870568209,1.0893163965535737,0.6218115789667387,-0.364648448881153,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,1302,00B,3,3,15,(2.7320508+0j),(1+1j),0.8459291153904982,0.8459291095977945,0.8459291154390979,1.0,0.9999999999974244,0.009604602858447059,-2.017520588111064,0.0052193541681053975,5,3,5,2,12,,0.9301516776695519,0.10285636870568209,1.0893163965535737,0.7430727467334158,-0.24338728111447583,moment,False,False,,alpha=config+beta=empirical,130
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,551,00B,3,3,15,(2.7320508+0j),(1+1j),0.7599791663944987,0.7599791663713132,0.759979166369331,1.0,0.9999999999999998,0.004351551084018669,-2.3613559138129863,0.002560918683322574,2,4,6,2,15,0.9999999999999998,1.1678163448537593,0.10285636870568209,1.0893163965535737,0.657122797663649,-0.32933723018424266,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,801,00B,3,3,15,(2.7320508+0j),(1+1j),0.8075881589788756,0.8075881593225436,0.807588159354593,1.0,1.0000000000000002,0.00669380342377244,-2.174327045671765,0.0029310048479973105,3,3,6,2,16,0.9999999999999993,0.8209554508188237,0.10285636870568209,1.0893163965535737,0.704731790648911,-0.28172823719898066,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,802,00B,3,3,15,(2.7320508+0j),(1+1j),0.8134833910104192,0.813483387268024,0.8134833873237926,1.0,1.0,0.006751670660386135,-2.1705887503079575,0.003316036431236967,3,3,6,2,16,,0.8245720935748956,0.10285636870568209,1.0893163965535737,0.7106270186181105,-0.27583300922978116,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,804,00B,3,3,15,(2.7320508+0j),(1+1j),0.6507648815623279,0.6507648820270859,0.6507648818232077,1.0,0.9999999999999999,9.179925296346614e-05,-4.037160852950876,3.3411526663229833e-06,3,4,8,3,45,,1.2570082322491962,0.10285636870568209,1.0893163965535737,0.5479085131175256,-0.438551514730366,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,1050,00B,3,3,15,(2.7320508+0j),(1+1j),0.5725715119763899,0.5722005623971351,0.5725715119723103,1.0,0.999974804032902,2.4621167277810832e-05,-4.608691361222129,2.5043510136367665e-06,4,4,11,4,180,,1.182497650272466,0.10285636870568209,1.0893163965535737,0.46971514326662817,-0.5167448845812634,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,1051,00B,3,3,15,(2.7320508+0j),(1+1j),0.7945579414551609,0.7945579427896154,0.7945579427896154,1.0,1.0,3.8482277671558044e-05,-4.414739231049113,4.770453883037463e-06,4,4,9,4,80,,1.0760643875083205,0.10285636870568209,1.0893163965535737,0.6917015740839334,-0.29475845376395826,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,1300,00B,3,3,15,(2.7320508+0j),(1+1j),0.8994016870826241,0.8994016852709281,0.8994016854451267,1.0,0.9999999999999719,0.012687962120738892,-1.8966081265884698,0.005460862795474778,5,3,5,2,12,,0.9402952501319559,0.10285636870568209,1.0893163965535737,0.7965453167394446,-0.18991471110844704,moment,False,False,,alpha=config+beta=empirical,134
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,1303,00B,3,3,15,(2.7320508+0j),(1+1j),0.8496894132468636,0.8496894105312709,0.8496894147100542,1.0,0.9999999999967818,0.008960241828200752,-2.047680268994584,0.004646152493323727,5,3,5,2,12,,0.929817320537417,0.10285636870568209,1.0893163965535737,0.7468330460043722,-0.2396269818435195,moment,False,False,,alpha=config+beta=empirical,134
experiments,0_c30_a1p00_b1p41,20260226-122845_p64_i2500,500,0,3,3,15,(1+0j),(1+1j),1.0722380832471594,1.0755468168863784,1.0721712673506891,0.999999212648045,0.9979911197158289,0.9603883652187889,-0.017553109914349344,0.9603891239361979,2,0,0,0,1,0.9999999999999991,,0.10515430190994114,1.0,0.967016965440748,0.07217126735068913,breeding_fock,False,False,,alpha=config+beta=config,73
